"","Year","Total","Gas","Liquids","Solids","CementProduction","GasFlaring","PerCapita"
"216",NA,1.05047923322684,1.08011869436202,1.08531583264971,1.01232876712329,1.06779661016949,1.09090909090909,1.03191489361702
"217",NA,1.03193430656934,1.07692307692308,1.0755857898715,0.979702300405954,1.03174603174603,1.1,1.01030927835052
"218",NA,1.0509873268494,1.08163265306122,1.08995080815179,1,1.07692307692308,1.10606060606061,1.03061224489796
"219",NA,1.06001121704992,1.10141509433962,1.07865892972276,1.02624309392265,1.05714285714286,1.0958904109589,1.03960396039604
"220",NA,1.07222222222222,1.05567451820128,1.09922295277944,1.04710632570659,1.05405405405405,1.0875,1.04761904761905
"221",NA,1.03824327658525,1.07505070993915,1.05872756933116,1.00192802056555,1.07692307692308,1.01149425287356,1.01818181818182
"222",NA,1.03992395437262,1.05660377358491,1.05649717514124,1.01090442591405,1.05952380952381,1.07954545454545,1.01785714285714
"223",NA,1.05438756855576,1.05,1.08945065629558,1.00317258883249,1.06741573033708,1.15789473684211,1.03508771929825
"224",NA,1.00195058517555,1.01530612244898,1.00178491744757,0.998734977862113,1.01052631578947,0.972727272727273,0.983050847457627
"225",NA,0.994159636599611,1.01172529313233,0.949665924276169,1.05953134895503,0.989583333333333,0.85981308411215,0.974137931034483
"226",NA,1.05831157528285,1.04304635761589,1.08536585365854,1.02211595935445,1.08421052631579,1.17391304347826,1.04424778761062
"227",NA,1.03125,1.03174603174603,1.03630077787381,1.02690058479532,1.04854368932039,0.962962962962963,1.00847457627119
"228",NA,1.0115629984051,1.04615384615385,0.997497914929108,1.01366742596811,1.07407407407407,1.01923076923077,0.991596638655462
"229",NA,1.05577453685455,1.06029411764706,1.06354515050167,1.05337078651685,1.02586206896552,0.924528301886792,1.04237288135593
"230",NA,0.989546387903677,1.02219140083218,0.952044025157233,1.032,1.00840336134454,0.877551020408163,0.967479674796748
"231",NA,0.969251084701,1.02442333785617,0.945086705202312,0.986046511627907,1.00833333333333,0.755813953488372,0.957983193277311
"232",NA,0.991436356558972,0.977483443708609,0.959370904325033,1.0356394129979,1,0.984615384615385,0.973684210526316
"233",NA,0.996270121711818,1.00135501355014,0.990892531876138,1.00050607287449,1.03305785123967,0.90625,0.972972972972973
"234",NA,1.03605911330049,1.09201623815968,1.01056985294118,1.04906423874557,1.024,0.879310344827586,1.01851851851852
"235",NA,1.03023963484215,1.03469640644362,0.994088221919054,1.06846673095468,1.0234375,0.96078431372549,1.01818181818182
"236",NA,1.03064426804504,0.994011976047904,1.04894784995425,1.02752707581227,1.04580152671756,0.938775510204082,1.00892857142857
"237",NA,1.02543435428981,1.07469879518072,1.00566942869603,1.02722880983751,1.04379562043796,0.956521739130435,1.00884955752212
"238",NA,1.03685589519651,1.04820627802691,1.04596704249783,1.02052159042326,1.06293706293706,1.13636363636364,1.01754385964912
"239",NA,1.02190026954178,1.05026737967914,1.01948590381426,1.01717637201508,1.02631578947368,0.82,1
"240",NA,1.00494559841741,1.04276985743381,1.01260675071167,0.981878088962109,1.00641025641026,0.975609756097561,0.991379310344828
"241",NA,1.0123031496063,1.025390625,1.04538152610442,0.969798657718121,1.02547770700637,1.125,0.991304347826087
"242",NA,0.990115054286177,1.03238095238095,0.960430272762198,1.00475778546713,1.03726708074534,0.8,0.973684210526316
"243",NA,0.999018003273322,1.03044280442804,1.0052,0.973740852346104,1.05389221556886,1.02777777777778,0.990990990990991
"244",NA,1.0170380078637,1.01432408236347,1.00875447672105,1.02343059239611,1.05681818181818,1.05405405405405,1
"245",NA,1.02190721649485,1.01676963812886,1.0094674556213,1.03585313174946,1.05913978494624,1,1.00909090909091
"246",NA,1.02317150063052,1.04166666666667,1.02618210238374,1.01000834028357,1.03045685279188,1.02564102564103,1.00900900900901
"247",NA,1.01509782776152,0.995833333333333,1.02779893373953,1.00949628406276,1.02955665024631,1,1
"248",NA,0.997268174229777,1.02510460251046,1.02185994812894,0.958282208588957,1,0.9,0.982142857142857
"249",NA,0.998173793943083,1.0269387755102,0.993473531544597,0.985488689714042,1.03827751196172,0.972222222222222,0.981818181818182
"250",NA,1.025613660619,1.0214626391097,1.03759124087591,1.00779558250325,1.04147465437788,1.31428571428571,1.01851851851852
"251",NA,1.02363609335514,1.02101167315175,1.00070348223707,1.05070906746884,1.04867256637168,1.02173913043478,1.00909090909091
"252",NA,1.00871333139704,1.02515243902439,0.995079086115993,1.00940695296524,1.06329113924051,1.04255319148936,1
"253",NA,1.06061042326519,1.03345724907063,1.04521370540445,1.09157212317666,1.0952380952381,0.979591836734694,1.04504504504504
"254",NA,1.04995249083752,1.03237410071942,1.02872592091923,1.07795100222717,1.07971014492754,1.125,1.03448275862069
"255",NA,1.03749191984486,1.02926829268293,1.00821287779238,1.0668044077135,1.0738255033557,1.11111111111111,1.025
"256",NA,1.03514018691589,1.03588354773189,1.00749429781688,1.05455132343447,1.1125,1.03333333333333,1.02439024390244
"257",NA,1.02178885277477,1.0202614379085,1.0019404915912,1.03520048974594,1.07303370786517,1.06451612903226,1.00793650793651
"258",NA,1.02945334590009,1.0416399743754,1.00871530019367,1.04376108811354,1.01570680628272,1.04545454545455,1.01574803149606
"259",NA,0.988899061570153,0.971709717097171,0.9808,0.996317280453258,1.06958762886598,0.927536231884058,0.976744186046512
"260",NA,1.05740076380049,1.07594936708861,1.02088091353997,1.07904464031845,1.07951807228916,1.03125,1.04761904761905
"261",NA,1.04060413702528,1.03647058823529,1.00926813678492,1.06113306982872,1.10714285714286,0.96969696969697,1.03030303030303
"262",NA,1.01714345814051,1.01418842224745,1.01773274224193,1.01465110504097,1.04838709677419,1.015625,1
"263",NA,1.01085720194396,1.01063234471181,1.00062227753578,1.01101321585903,1.06538461538462,1.04615384615385,1
